#cM_start	cM_stop	NumElts	Mean: [0.99, 1.00]	[0.98, 0.99)	[0.97, 0.98)	[0.96, 0.97)	[0.95, 0.96)	[0.94, 0.95)	[0.93, 0.94)	[0.92, 0.93)	[0.91, 0.92)	[0.90, 0.91)	[0.89, 0.90)	[0.88, 0.89)	[0.87, 0.88)	[0.86, 0.87)	[0.85, 0.86)	[0.84, 0.85)	[0.83, 0.84)	[0.82, 0.83)	[0.81, 0.82)	[0.80, 0.81)	[0.79, 0.80)	[0.78, 0.79)	[0.77, 0.78)	[0.76, 0.77)	[0.75, 0.76)	[0.74, 0.75)	[0.73, 0.74)	[0.72, 0.73)	[0.71, 0.72)	[0.70, 0.71)	[0.69, 0.70)	[0.68, 0.69)	[0.67, 0.68)	[0.66, 0.67)	[0.65, 0.66)	[0.64, 0.65)	[0.63, 0.64)	[0.62, 0.63)	[0.61, 0.62)	[0.60, 0.61)	[0.59, 0.60)	[0.58, 0.59)	[0.57, 0.58)	[0.56, 0.57)	[0.55, 0.56)	[0.54, 0.55)	[0.53, 0.54)	[0.52, 0.53)	[0.51, 0.52)	[0.50, 0.51)	[0.49, 0.50)	[0.48, 0.49)	[0.47, 0.48)	[0.46, 0.47)	[0.45, 0.46)	[0.44, 0.45)	[0.43, 0.44)	[0.42, 0.43)	[0.41, 0.42)	[0.40, 0.41)	[0.39, 0.40)	[0.38, 0.39)	[0.37, 0.38)	[0.36, 0.37)	[0.35, 0.36)	[0.34, 0.35)	[0.33, 0.34)	[0.32, 0.33)	[0.31, 0.32)	[0.30, 0.31)	[0.29, 0.30)	[0.28, 0.29)	[0.27, 0.28)	[0.26, 0.27)	[0.25, 0.26)	[0.24, 0.25)	[0.23, 0.24)	[0.22, 0.23)	[0.21, 0.22)	[0.20, 0.21)	[0.19, 0.20)	[0.18, 0.19)	[0.17, 0.18)	[0.16, 0.17)	[0.15, 0.16)	[0.14, 0.15)	[0.13, 0.14)	[0.12, 0.13)	[0.11, 0.12)	[0.10, 0.11)	[0.09, 0.10)	[0.08, 0.09)	[0.07, 0.08)	[0.06, 0.07)	[0.05, 0.06)	[0.04, 0.05)	[0.03, 0.04)	[0.02, 0.03)	[0.01, 0.02)	[0.0, 0.01)
2.000000	2.100000	2672057	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.899166	0.899166	0.899166	0.899166	0.899166	0.899166	0.899166	0.899166	0.899166	0.899166	1.318944	1.318944	1.318944	1.318944	1.318944	1.318944	1.611721	1.611721	1.611721	1.611721	1.611721	1.844868	1.844868	1.844868	1.844868	2.043016	2.043016	2.043016	2.215514	2.215514	2.215514	2.366864	2.366864	2.507367	2.507367	2.63504	2.63504	2.753195	2.753195	2.860281	2.96846	3.066137	3.066137	3.158778	3.247872	3.418797	3.418797	3.500394	3.577657	3.726708	3.870968	3.942035	4.011461	4.145078	4.27521	4.466225	4.591105	4.713805	4.958678	5.141388	5.263158	5.506401	5.754609	5.816555	6.205665	6.410247	6.620485	6.995011	7.236068	7.686939	8.098592	8.333333	8.888881	9.633028	10.156981	10.924898	12.658228	12.658228	12.658228	12.658228	12.658228	12.658228	12.658228	12.658228	12.658228	12.658228
2.100000	2.200000	2094976	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.902935	0.902935	0.902935	0.902935	0.902935	0.902935	0.902935	0.902935	0.902935	1.329536	1.329536	1.329536	1.329536	1.329536	1.329536	1.63851	1.63851	1.63851	1.63851	1.882353	1.882353	1.882353	1.882353	1.882353	2.088349	2.088349	2.088349	2.267575	2.267575	2.267575	2.425759	2.425759	2.570289	2.570289	2.570289	2.702703	2.702703	2.826259	2.941176	2.941176	2.941176	3.04878	3.148139	3.245943	3.33975	3.33975	3.429153	3.516812	3.679183	3.757829	3.834801	3.9075	3.980093	4.05092	4.25984	4.326923	4.457948	4.651163	4.776729	4.901961	5.025646	5.208333	5.329306	5.573408	5.696697	5.946784	6.136674	6.330356	6.743287	6.814822	6.962585	7.441391	7.799443	8.314766	8.314766	9.130713	9.493671	10.208817	10.537645	10.948182	12.526998	12.526998	12.526998	12.526998	12.526998	12.526998	12.526998	12.526998	12.526998	12.526998	12.526998
2.200000	2.300000	1685521	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.896861	0.896861	0.896861	0.896861	0.896861	0.896861	0.896861	1.313244	1.313244	1.313244	1.313244	1.313244	1.611284	1.611284	1.611284	1.611284	1.848184	1.848184	1.848184	1.848184	2.046434	2.046434	2.046434	2.046434	2.222217	2.222217	2.222217	2.375954	2.375954	2.521924	2.521924	2.521924	2.65282	2.65282	2.774566	2.774566	2.887139	2.998501	2.998501	3.098712	3.098712	3.196877	3.289206	3.377379	3.377379	3.463208	3.627261	3.627261	3.78109	3.927643	3.997654	3.997654	4.067188	4.266667	4.266667	4.395604	4.587156	4.713813	4.775833	4.901954	5.083094	5.203945	5.385742	5.445545	5.691063	5.813228	6.000942	6.193548	6.391478	6.739536	7.037037	7.194245	7.359307	7.911809	8.230453	8.473514	9.049261	9.408609	10.132159	10.462281	11.455408	12.471132	12.471132	12.471132	12.471132	12.471132	12.471132	12.471132	12.471132	12.471132	12.471132	12.471132	12.471132
2.300000	2.400000	1352099	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.933126	0.933126	0.933126	0.933126	0.933126	0.933126	1.36612	1.36612	1.36612	1.36612	1.66667	1.66667	1.66667	1.66667	1.66667	1.904761	1.904761	1.904761	2.111117	2.111117	2.111117	2.111117	2.292264	2.292264	2.292264	2.452115	2.452115	2.452115	2.596415	2.596415	2.729892	2.729892	2.729892	2.853437	2.970297	2.970297	3.079715	3.079715	3.181497	3.181497	3.278689	3.372244	3.372244	3.461242	3.547394	3.629427	3.787879	3.787879	3.937536	4.079436	4.079436	4.218253	4.284499	4.284499	4.481786	4.608295	4.734191	4.734191	4.85528	5.098795	5.157969	5.395	5.455532	5.696203	5.756727	6.060613	6.060613	6.323031	6.521739	6.871338	7.017544	7.327136	7.580819	7.858546	8.388521	8.506953	9.066672	9.624419	10.126582	10.452962	11.434099	12.44763	12.44763	12.44763	12.44763	12.44763	12.44763	12.44763	12.44763	12.44763	12.44763	12.44763	12.44763	12.44763
2.400000	2.500000	1047104	-1.0	-1.0	-1.0	-1.0	-1.0	0.894855	0.894855	0.894855	0.894855	0.894855	1.318504	1.318504	1.318504	1.633988	1.633988	1.633988	1.633988	1.633988	1.880141	1.880141	1.880141	1.880141	2.089552	2.089552	2.273765	2.273765	2.273765	2.440383	2.440383	2.590084	2.590084	2.590084	2.727273	2.727273	2.8593	2.8593	2.8593	2.978723	3.093328	3.093328	3.093328	3.200621	3.200621	3.401361	3.401361	3.495307	3.495307	3.58599	3.674535	3.757582	3.841814	3.841814	3.921569	4.076745	4.076745	4.226319	4.226319	4.437055	4.504514	4.638472	4.771122	4.834606	4.898834	5.147514	5.147514	5.270662	5.3914	5.756727	5.818182	5.879085	5.940594	6.252438	6.445106	6.638411	6.774434	6.980812	7.275812	7.427541	7.675906	8.137715	8.458281	8.832808	9.287538	9.287538	10.142245	10.84991	11.382114	12.310597	12.310597	12.310597	12.310597	12.310597	12.310597	12.310597	12.310597	12.310597	12.310597	12.310597	12.310597	12.310597
2.500000	2.600000	845024	-1.0	-1.0	-1.0	-1.0	0.892857	0.892857	0.892857	0.892857	1.298701	1.298701	1.298701	1.298701	1.593625	1.593625	1.593625	1.832277	1.832277	1.832277	2.038217	2.038217	2.038217	2.2187	2.2187	2.2187	2.385206	2.385206	2.535414	2.535414	2.535414	2.535414	2.672948	2.672948	2.799659	2.799659	2.918862	3.030303	3.030303	3.136309	3.136309	3.136309	3.333329	3.333329	3.429031	3.429031	3.515625	3.600978	3.683904	3.683904	3.765227	3.921562	3.921562	3.994674	4.137931	4.137931	4.137931	4.278612	4.479283	4.542879	4.671723	4.735062	4.859813	4.983012	5.043333	5.167173	5.346294	5.405405	5.651678	5.651678	5.837706	6.024892	6.214682	6.34219	6.60523	6.60523	6.956522	7.029473	7.33945	7.68	7.865169	8.063348	8.63096	9.06432	9.609617	9.609617	10.411411	10.803696	11.353712	12.314973	12.314973	12.314973	12.314973	12.314973	12.314973	12.314973	12.314973	12.314973	12.314973	12.314973	12.314973	12.314973
2.600000	2.700000	689398	-1.0	-1.0	-1.0	-1.0	0.849257	0.849257	0.849257	1.260022	1.260022	1.260022	1.568627	1.568627	1.568627	1.813111	1.813111	1.813111	1.813111	2.020202	2.020202	2.020202	2.206742	2.206742	2.371176	2.371176	2.523042	2.523042	2.523042	2.662412	2.662412	2.662412	2.790239	2.916033	2.916033	3.030303	3.140091	3.140091	3.140091	3.243842	3.243842	3.340934	3.340934	3.435115	3.527721	3.614458	3.703698	3.783236	3.864738	3.864738	4.018547	4.094683	4.094683	4.240283	4.310669	4.380957	4.444452	4.516451	4.583333	4.713805	4.841713	4.904207	5.092045	5.215124	5.215124	5.459323	5.521056	5.581395	5.764417	5.946784	6.009065	6.259789	6.324111	6.585608	6.653096	7.006026	7.228916	7.387378	7.724873	7.909605	8.207064	8.66426	9.090909	9.090909	9.864504	10.121457	10.430839	11.374408	12.301592	12.301592	12.301592	12.301592	12.301592	12.301592	12.301592	12.301592	12.301592	12.301592	12.301592	12.301592	12.301592	12.301592
2.700000	2.800000	537319	-1.0	-1.0	-1.0	0.831848	0.831848	0.831848	1.237844	1.237844	1.237844	1.528513	1.528513	1.528513	1.528513	1.769912	1.769912	1.981599	1.981599	2.164497	2.164497	2.164497	2.330424	2.330424	2.330424	2.482924	2.482924	2.624672	2.624672	2.754821	2.754821	2.876792	2.876792	2.990654	2.990654	3.098456	3.098456	3.202336	3.202336	3.30033	3.397022	3.489103	3.489103	3.663004	3.663004	3.663004	3.745318	3.826782	3.904555	3.9801	4.127972	4.127972	4.19948	4.340568	4.407707	4.407707	4.407707	4.668305	4.796158	4.858763	4.922424	4.985748	5.108557	5.168782	5.353413	5.413426	5.598965	5.598965	5.902279	6.024096	6.146578	6.273526	6.467066	6.666667	6.80813	6.949807	7.33056	7.492362	7.578455	7.850035	8.15047	8.743174	8.743174	9.800759	9.800759	10.374931	10.763889	11.295681	12.251656	12.251656	12.251656	12.251656	12.251656	12.251656	12.251656	12.251656	12.251656	12.251656	12.251656	12.251656	12.251656	12.251656
2.800000	2.900000	459995	-1.0	-1.0	0.818714	0.818714	0.818714	1.192411	1.192411	1.192411	1.476015	1.713797	1.713797	1.713797	1.914409	1.914409	1.914409	2.096431	2.096431	2.096431	2.258469	2.406733	2.406733	2.406733	2.542706	2.542706	2.67077	2.67077	2.67077	2.790698	2.905383	3.015622	3.015622	3.120567	3.120567	3.120567	3.217158	3.310966	3.399845	3.399845	3.399845	3.569711	3.569711	3.733333	3.733333	3.809528	3.885012	3.885012	4.031674	4.102564	4.172589	4.239539	4.305552	4.439068	4.439068	4.504509	4.693141	4.816634	4.816634	4.876353	5.002557	5.120768	5.120768	5.421913	5.544012	5.603208	5.783391	5.783391	5.970149	6.162471	6.291085	6.48855	6.557377	6.627684	6.984133	7.136155	7.214429	7.293453	7.819549	8.123249	8.47737	8.895411	9.05489	9.05489	9.895833	10.202015	10.597298	12.010444	12.010444	12.010444	12.010444	12.010444	12.010444	12.010444	12.010444	12.010444	12.010444	12.010444	12.010444	12.010444	12.010444	12.010444
2.900000	3.000000	369723	-1.0	-1.0	0.794597	0.794597	1.177537	1.177537	1.177537	1.466053	1.466053	1.466053	1.70006	1.70006	1.904768	1.904768	1.904768	2.092676	2.092676	2.255639	2.255639	2.405503	2.405503	2.544526	2.544526	2.672289	2.672289	2.913759	2.913759	2.913759	2.913759	3.021978	3.021978	3.125	3.125	3.321033	3.321033	3.321033	3.414191	3.503914	3.672659	3.672659	3.752345	3.752345	3.830036	3.905447	4.122239	4.122239	4.122239	4.192872	4.329004	4.394782	4.394782	4.585903	4.585903	4.651163	4.778978	4.839965	4.96599	5.027552	5.328989	5.328989	5.508982	5.508982	5.569414	5.873012	5.873012	5.995717	5.995717	6.25	6.655381	6.655381	6.938579	7.243461	7.243461	7.407407	7.580819	7.958478	8.278863	8.278863	8.647134	8.939615	9.46065	9.934323	9.934323	10.621475	11.158199	12.111463	12.111463	12.111463	12.111463	12.111463	12.111463	12.111463	12.111463	12.111463	12.111463	12.111463	12.111463	12.111463	12.111463	12.111463
